DS18B20,BMP390,,,SEN0463 (Geiger),,,GY271 (Magnetometer),,,,,SCD30,,,PMSA003I,,,,,,Solar Panel,,,,Time,Heater
External Temp (*C), Internal Temp (*C), Pressure (hPa), Approx. Altitude (meters), CPM, nSv/h, uSv/h, Mag. field X (mG), Mag. field Y (mG), Mag. field Z (mG), Heading (°), Magnitude (mG), CO2 (ppm), SCD30 Temp (C), Humidity (%), Particles > 0.3um / 0.1L air, Particles > 0.5um / 0.1L air, Particles > 1.0um / 0.1L air, Particles > 2.5um / 0.1L air, Particles > 5.0um / 0.1L air, Particles > 10 um / 0.1L air, Voltage (V), Power (mW), Solar Power (mW), Intensity (W/m^2), Time (seconds), Outside Heater Status
-39.56,6.01,66.68,17917.46,775,5132,5.13,27.79,0.79,18.6,1,33.45,63,-15.24,8.9,7481,4973,0,0,0,0,5,2.5,14.71,3.69,5610,On
-39.38,5.99,66.67,17918.2,842,5578,5.58,11.68,-1.48,19.89,-7,23.12,58,-14.96,8.97,5614,3621,0,0,0,0,5,2.5,14.71,3.69,5616,On
-39.44,5.96,66.66,17918.92,825,5465,5.47,-8.68,-30.87,27.1,-105,41.99,0,-15.3,8.97,3900,2434,0,0,0,0,5,2.5,14.71,3.69,5622,On
-39.31,5.93,66.65,17919.66,826,5475,5.48,41.13,-6.98,18.75,-9,45.73,48,-15.38,8.73,2829,1728,0,0,0,0,5,2.5,14.71,3.69,5627,On
-39.31,5.9,66.64,17920.38,809,5359,5.36,3.54,-33.5,20.37,-83,39.37,89,-15.24,8.28,1895,1134,0,0,0,0,5,2.5,14.71,3.69,5633,On
-39.13,5.88,66.63,17921.07,818,5423,5.42,12.88,-24.42,15.23,-62,31.52,50,-15.07,8.18,1338,777,0,0,0,0,5,2.5,14.71,3.69,5638,On
-39.06,5.85,66.62,17921.78,835,5530,5.53,22.33,-37.72,16.12,-59,46.71,72,-14.96,8.24,852,479,0,0,0,0,5,2.5,14.71,3.69,5644,On
-38.94,5.83,66.61,17922.5,846,5606,5.61,38.71,-14.88,17.18,-21,44.89,40,-14.89,8.34,618,341,0,0,0,0,5,2.5,14.71,3.69,5650,On
-38.69,5.8,66.6,17923.21,843,5587,5.59,0.89,-29.85,20.52,-88,36.23,21,-14.54,8.85,372,194,0,0,0,0,5,2.5,14.71,3.69,5655,On
-38.56,5.77,66.59,17923.89,831,5503,5.5,6.48,-35.27,19.14,-79,40.65,20,-14.34,9.15,236,118,0,0,0,0,5,2.5,14.71,3.69,5661,On
-38.5,5.75,66.58,17924.6,808,5350,5.35,12.48,-12.06,16.87,-44,24.2,22,-14.23,9.34,131,55,0,0,0,0,5,2.5,14.71,3.69,5666,On
-38.56,5.72,66.57,17925.28,794,5258,5.26,42,-20.77,17.22,-26,49.92,5,-14.34,9.17,75,15,0,0,0,0,5,2.5,14.71,3.69,5672,On
-38.38,5.7,66.56,17925.95,802,5314,5.31,37.08,-13.39,16.12,-19,42.6,67,-14.69,8.55,23,0,0,0,0,0,5,2.5,14.71,3.69,5678,On
-38.44,5.67,66.55,17926.63,804,5328,5.33,11.46,-46,22.21,-76,52.35,0,-14.72,8.2,3,0,0,0,0,0,5,2.5,14.71,3.69,5683,On
-38.25,5.65,66.54,17927.3,820,5431,5.43,19.42,-40.35,17.77,-64,48.17,0,-14.61,7.59,0,0,0,0,0,0,5,2.5,14.71,3.69,5689,On
-38.19,5.62,66.54,17927.99,819,5423,5.42,3.93,-40.75,22.33,-84,46.63,0,-14.71,7.48,0,0,0,0,0,0,5,2.5,14.71,3.69,5694,On
-38.06,5.6,66.53,17928.63,835,5533,5.53,9.39,-42,21.14,-77,47.95,5,-14.55,7.28,5,0,0,0,0,0,5,2.5,14.71,3.69,5700,On
-37.94,5.57,66.52,17929.3,845,5601,5.6,16.12,-36.88,16.87,-66,43.64,58,-14.92,7.32,8,0,0,0,0,0,5,2.5,14.71,3.69,5706,On
-37.81,5.55,66.51,17929.95,843,5583,5.58,18.29,-44.71,20.37,-67,52.43,22,-14.68,7.29,3,0,0,0,0,0,5,2.5,14.71,3.69,5711,On
-37.75,5.52,66.5,17930.62,835,5535,5.54,30.79,-29.46,15.18,-43,45.24,93,-14.65,7.43,5,0,0,0,0,0,5,2.5,14.71,3.69,5717,On
-37.69,5.5,66.49,17931.26,801,5304,5.3,18.29,-47.42,20.87,-68,54.94,0,-14.71,7.38,89,9,0,0,0,0,5,2.5,14.71,3.69,5722,On
-37.56,5.47,66.48,17931.91,783,5185,5.19,6.23,-36.04,19.54,-80,41.47,124,-14.95,7.32,199,28,0,0,0,0,5,2.5,14.71,3.69,5728,On
-37.44,5.45,66.48,17932.56,782,5178,5.18,10.89,-49.72,24.47,-77,56.48,49,-15.2,7.12,253,34,0,0,0,0,5,2.5,14.71,3.69,5734,On
-37.19,5.43,66.47,17933.2,762,5048,5.05,1.46,-26.43,20.43,-86,33.44,43,-15.08,6.93,250,26,0,0,0,0,5,2.5,14.71,3.69,5739,On
-37.06,5.4,66.46,17933.82,757,5016,5.02,31.79,-40.96,18.37,-52,55.01,0,-15.13,6.88,211,7,0,0,0,0,5,2.5,14.71,3.69,5745,On
-37,5.38,66.45,17934.48,739,4900,4.9,5.42,-41.17,21.93,-82,46.96,0,-14.99,6.66,168,1,0,0,0,0,5,2.5,14.71,3.69,5751,On
-36.75,5.35,66.44,17935.13,728,4826,4.83,20.79,-29.89,14.83,-55,39.32,104,-14.83,6.81,133,1,0,0,0,0,5,2.5,14.71,3.69,5756,On
-36.69,5.33,66.43,17935.75,743,4922,4.92,34.79,-49.56,23.04,-54,64.79,62,-14.68,6.76,112,0,0,0,0,0,5,2.5,14.71,3.69,5762,On
-36.63,5.31,66.42,17936.38,745,4937,4.94,17.52,0.06,19.46,0,26.18,29,-14.58,7.11,105,1,0,0,0,0,5,2.5,14.71,3.69,5767,On
-36.75,5.28,66.42,17937,759,5031,5.03,25.37,-18.39,14.48,-35,34.52,92,-14.64,7.69,105,1,0,0,0,0,5,2.5,14.71,3.69,5773,On
-36.69,5.26,66.41,17937.64,751,4975,4.98,44.21,-13.48,18.96,-16,49.95,51,-14.55,7.78,99,1,0,0,0,0,5,2.5,14.71,3.69,5779,On
-36.69,5.24,66.4,17938.25,749,4960,4.96,10.27,-11.81,17.1,-48,23.18,36,-14.38,7.9,94,2,0,0,0,0,5,2.5,14.71,3.69,5784,On
-36.63,5.21,66.39,17938.87,757,5013,5.01,40.1,-40.92,20.02,-45,60.69,42,-14.48,7.69,86,2,0,0,0,0,5,2.5,14.71,3.69,5790,On
-36.56,5.19,66.38,17939.51,770,5099,5.1,12.46,-32.52,16.68,-69,38.61,118,-14.54,7.38,61,1,0,0,0,0,5,2.5,14.71,3.69,5795,On
-36.56,5.17,66.38,17940.11,722,4784,4.78,-2.79,-22.71,20.96,-97,31.03,64,-14.41,7.17,15,0,0,0,0,0,5,2.5,14.71,3.69,5801,On
-36.44,5.14,66.37,17940.72,738,4891,4.89,17.87,-5.56,17.54,-17,25.65,25,-14.29,6.9,0,0,0,0,0,0,5,2.5,14.71,3.69,5807,On
-36.31,5.12,66.36,17941.32,729,4832,4.83,17.89,-41.72,18.47,-66,49.01,10,-14.24,7.04,0,0,0,0,0,0,5,2.5,14.71,3.69,5812,On
-36.19,5.1,66.35,17941.92,718,4759,4.76,-5.68,-20.97,22.79,-105,31.49,10,-14.13,7.22,0,0,0,0,0,0,5,2.5,14.71,3.69,5818,On
-36,5.08,66.34,17942.5,701,4643,4.64,33.56,-31.56,15.77,-43,48.69,55,-14.24,7.54,0,0,0,0,0,0,5,2.5,14.71,3.69,5823,On
-35.94,5.05,66.34,17943.12,697,4622,4.62,-10.08,-17.87,26.02,-119,33.14,0,-14.2,7.33,0,0,0,0,0,0,5,2.5,14.71,3.69,5829,On
-35.81,5.03,66.33,17943.69,720,4768,4.77,5.81,-4.18,19.81,-35,21.06,0,-14.14,7.26,0,0,0,0,0,0,5,2.5,14.71,3.69,5835,On
-35.75,5.01,66.32,17944.28,728,4826,4.83,38.04,1.39,21.67,2,43.8,52,-13.92,7.29,0,0,0,0,0,0,5,2.5,14.71,3.69,5840,On
-35.63,4.99,66.31,17944.88,765,5066,5.07,17.18,-31.71,15.63,-61,39.3,38,-13.86,7.36,302,203,0,0,0,0,5,2.5,14.71,3.69,5846,On
-35.63,4.96,66.3,17945.5,781,5172,5.19,30.6,5.08,21.85,9,37.94,42,-13.58,7.5,1927,1224,0,0,0,0,5,2.5,14.71,3.69,5851,On
-35.38,4.94,66.3,17946.09,801,5304,5.31,25.37,-31.39,15.27,-51,43.16,26,-13.5,7.69,4350,2718,0,0,0,0,5,2.5,14.71,3.69,5857,On
-35.38,4.92,66.29,17946.67,848,5619,5.62,27.25,-44.1,18.68,-58,55.1,61,-13.37,7.65,6119,3972,0,0,0,0,5,2.5,14.71,3.69,5863,On
-35.25,4.9,66.28,17947.22,854,5657,5.66,-0.42,-7.98,21.97,-92,23.38,0,-13.33,7.69,10126,6913,0,0,0,0,5,2.5,14.71,3.69,5868,On
-35.25,4.88,66.27,17947.7,845,5600,5.6,11.33,-10.13,16.79,-41,22.65,11,-13.44,7.52,12030,8263,0,0,0,0,5,2.5,14.71,3.69,5874,On
-35.25,4.87,66.27,17948.13,848,5619,5.62,0.14,-32.81,21.71,-89,39.34,77,-13.36,7.24,9909,6764,0,0,0,0,5,2.5,14.71,3.69,5879,On
-35.06,4.84,66.26,17948.73,820,5431,5.43,24.31,-29.72,14.56,-50,41.07,58,-13.16,6.77,7375,4942,0,0,0,0,5,2.5,14.71,3.69,5885,On
-35.13,4.82,66.25,17949.34,831,5504,5.5,12.81,-39.54,18.6,-72,45.54,39,-13.09,6.56,5691,3564,0,0,0,0,5,2.5,14.71,3.69,5891,On
-35.06,4.8,66.25,17949.93,821,5442,5.44,6,-29.89,18.56,-78,35.69,24,-13.51,6.54,4361,2615,0,0,0,0,5,2.5,14.71,3.69,5896,On
-34.88,4.78,66.24,17950.54,801,5309,5.31,-2.68,-18.64,21.04,-98,28.24,39,-13.54,6.33,2815,1671,0,0,0,0,5,2.5,14.71,3.69,5902,On
-34.75,4.75,66.23,17951.09,817,5410,5.41,28.35,-9.75,16.08,-18,34.02,26,-13.55,6.14,1942,1142,0,0,0,0,5,2.5,14.71,3.69,5907,On
-34.69,4.73,66.22,17951.68,784,5192,5.19,-6.35,-21.18,23.39,-106,32.19,29,-13.36,6.14,1241,716,0,0,0,0,5,2.5,14.71,3.69,5913,On
-34.56,4.71,66.22,17952.23,761,5039,5.04,8.46,-39.79,20.12,-77,45.39,27,-13.23,6.13,911,520,0,0,0,0,5,2.5,14.71,3.69,5919,On
-34.5,4.69,66.21,17952.78,746,4946,4.95,45.58,0.02,22.92,0,51.02,23,-13.16,6.2,564,312,0,0,0,0,5,2.5,14.71,3.69,5924,On
-34.63,4.67,66.2,17953.34,732,4849,4.85,1.37,-21.46,18.87,-86,28.61,28,-13.04,6.7,372,194,0,0,0,0,5,2.5,14.71,3.69,5930,On
-34.5,4.65,66.19,17953.88,735,4867,4.87,26.77,-8.67,15.73,-17,32.23,27,-12.94,6.9,214,106,0,0,0,0,5,2.5,14.71,3.69,5936,On
-34.38,4.63,66.19,17954.41,736,4880,4.88,14.89,-36.04,16.83,-67,42.47,0,-12.98,7.21,131,55,0,0,0,0,5,2.5,14.71,3.69,5941,On
-34.44,4.61,66.18,17954.95,730,4838,4.84,26.87,-37.97,17.18,-54,49.59,35,-12.89,7.08,65,10,0,0,0,0,5,2.5,14.71,3.69,5947,On
-34.31,4.59,66.17,17955.48,738,4889,4.89,38.18,-24.93,15.73,-33,48.24,45,-12.81,7.22,21,0,0,0,0,0,5,2.5,14.71,3.69,5952,On
-34.38,4.57,66.17,17955.99,743,4924,4.92,40.68,-7.21,19.22,-10,45.57,27,-12.74,7.42,1,0,0,0,0,0,5,2.5,14.71,3.69,5958,On
-34.25,4.55,66.16,17956.53,739,4897,4.9,15.54,-27.6,14.75,-60,34.94,8,-12.6,7.71,0,0,0,0,0,0,5,2.5,14.71,3.69,5964,On
-34.25,4.53,66.15,17957.06,742,4913,4.91,39.63,-11.77,17.62,-16,44.94,21,-12.76,8.06,0,0,0,0,0,0,5,2.5,14.71,3.69,5969,On
-34.13,4.51,66.14,17957.62,750,4966,4.97,13.39,-37.08,17.77,-70,43.25,0,-12.48,7.91,0,0,0,0,0,0,5,2.5,14.71,3.69,5975,On
-34,4.49,66.14,17958.15,757,5013,5.01,31.52,1.39,20.52,2,37.63,30,-12.39,8.02,0,0,0,0,0,0,5,2.5,14.71,3.69,5980,On
-33.88,4.47,66.13,17958.66,762,5052,5.05,18.14,-7.06,16.47,-21,25.5,23,-12.21,8.32,0,0,0,0,0,0,5,2.5,14.71,3.69,5986,On
-33.75,4.45,66.12,17959.16,756,5007,5.02,22.14,-47.79,21.27,-65,56.8,9,-12.15,8.54,0,0,0,0,0,0,5,2.5,14.71,3.69,5992,On
-33.56,4.43,66.12,17959.68,742,4914,4.91,29.46,-45.04,20.12,-56,57.46,12,-12.02,8.59,0,0,0,0,0,0,5,2.5,14.71,3.69,5997,On
-33.56,4.41,66.11,17960.21,738,4890,4.89,32.67,-6.08,16.87,-10,37.27,24,-12.12,8.61,0,0,0,0,0,0,5,2.5,14.71,3.69,6003,On
-33.63,4.39,66.1,17960.73,727,4820,4.82,22.54,-1.77,18.33,-4,29.11,18,-12.05,8.51,0,0,0,0,0,0,5,2.5,14.71,3.69,6008,On
-33.69,4.38,66.1,17961.22,732,4850,4.85,14.23,-32.47,16.47,-66,39.09,0,-11.97,8.22,0,0,0,0,0,0,5,2.5,14.71,3.69,6014,On
-33.56,4.36,66.09,17961.74,743,4924,4.92,10.04,-44.58,21.62,-77,50.56,91,-12.02,8.04,0,0,0,0,0,0,5,2.5,14.71,3.69,6020,On
-33.44,4.34,66.08,17962.25,723,4794,4.79,34.88,-29.97,15.93,-40,48.67,15,-11.98,7.64,0,0,0,0,0,0,5,2.5,14.71,3.69,6025,On
-33.19,4.32,66.08,17962.74,785,5198,5.2,11.18,-47.89,23.67,-76,54.58,46,-11.84,7.53,0,0,0,0,0,0,5,2.5,14.71,3.69,6031,On
-33.13,4.3,66.07,17963.26,800,5298,5.3,10.54,-30.5,16.29,-70,36.15,20,-11.81,7.35,0,0,0,0,0,0,5,2.5,14.71,3.69,6036,On
-33,4.28,66.06,17963.77,779,5158,5.16,23.79,-1.48,18.21,-3,30,24,-11.77,7.47,0,0,0,0,0,0,5,2.5,14.71,3.69,6042,On
-32.88,4.26,66.06,17964.27,765,5072,5.07,-4.77,-16.71,22.02,-105,28.05,11,-11.69,7.57,0,0,0,0,0,0,5,2.5,14.71,3.69,6048,On
-32.75,4.24,66.05,17964.75,730,4837,4.84,40.96,-19.6,17.18,-25,48.55,18,-11.62,7.55,0,0,0,0,0,0,5,2.5,14.71,3.69,6053,On
-32.5,4.23,66.04,17965.24,737,4882,4.88,29.14,0.35,18.43,0,34.48,21,-11.45,7.73,33,13,0,0,0,0,5,2.5,14.71,3.69,6059,On
-32.31,4.21,66.04,17965.73,732,4853,4.85,28.85,-9.27,16.75,-17,34.62,23,-11.41,8.04,220,81,0,0,0,0,5,2.5,14.71,3.69,6064,On
-32.19,4.19,66.03,17966.21,738,4891,4.89,10.75,-46.6,22.25,-77,52.75,20,-11.32,8.58,358,125,0,0,0,0,5,2.5,14.71,3.69,6070,On
-32,4.17,66.02,17966.71,736,4878,4.88,37.39,-24.5,16.08,-33,47.51,20,-11.28,8.79,397,137,0,0,0,0,5,2.5,14.71,3.69,6076,On
-32,4.15,66.02,17967.17,733,4858,4.86,8.89,-40.27,19.89,-77,45.78,14,-11.27,9.03,356,125,0,0,0,0,5,2.5,14.71,3.69,6081,On
-31.94,4.14,66.01,17967.62,728,4826,4.83,32.97,-23.92,14.88,-35,43.37,17,-11.27,8.95,279,95,0,0,0,0,5,2.5,14.71,3.69,6087,On
-31.87,4.12,66.01,17968.13,738,4887,4.89,13.83,-43.92,20.33,-72,50.33,20,-11.25,8.43,230,67,0,0,0,0,5,2.5,14.71,3.69,6092,On
-31.69,4.1,66,17968.59,726,4807,4.81,12.06,-36.68,18.12,-71,42.66,31,-11.27,8.18,167,30,0,0,0,0,5,2.5,14.71,3.69,6098,On
-31.5,4.08,65.99,17969.05,723,4788,4.79,25.27,-48.46,21.58,-62,58.76,0,-11.24,7.83,120,8,0,0,0,0,5,2.5,14.71,3.69,6104,On
-31.56,4.07,65.99,17969.53,728,4823,4.82,26.85,-3.38,17.58,-7,32.27,2,-11.34,7.82,67,0,0,0,0,0,5,2.5,14.71,3.69,6109,On
-31.44,4.05,65.98,17969.99,717,4752,4.75,41.04,-31.14,17.31,-37,54.35,60,-11.39,7.4,34,0,0,0,0,0,5,2.5,14.71,3.69,6115,On
-31.37,4.03,65.97,17970.48,712,4716,4.72,4.67,-31.87,18.79,-81,37.3,38,-11.25,7.13,12,0,0,0,0,0,5,2.5,14.71,3.69,6120,On
-31.19,4.01,65.97,17970.95,693,4589,4.59,30.64,-42.89,18.68,-54,55.93,6,-11.17,7.15,2,0,0,0,0,0,5,2.5,14.71,3.69,6126,On
-31.19,4,65.96,17971.41,700,4637,4.64,11.73,-36.04,18.02,-71,41.97,19,-11.15,7.46,0,0,0,0,0,0,5,2.5,14.71,3.69,6132,On
-31,3.98,65.96,17971.9,693,4594,4.59,26.6,-41.93,18.21,-57,52.89,22,-11.04,7.46,0,0,0,0,0,0,5,2.5,14.71,3.69,6137,On
-30.94,3.96,65.95,17972.35,695,4603,4.6,2.92,-24.46,19.77,-83,31.58,16,-11.18,7.61,0,0,0,0,0,0,5,2.5,14.71,3.69,6143,On
-30.81,3.94,65.94,17972.83,707,4684,4.68,37.21,-19.29,15.67,-27,44.74,49,-11.11,7.42,0,0,0,0,0,0,5,2.5,14.71,3.69,6148,On
-30.81,3.93,65.94,17973.27,748,4953,4.95,26.06,-13.39,15,-27,32.91,0,-10.91,7.41,0,0,0,0,0,0,5,2.5,14.71,3.69,6154,On
-30.75,3.91,65.93,17973.71,782,5178,5.18,35.43,-39.88,18.87,-48,56.58,0,-10.99,7.48,0,0,0,0,0,0,5,2.5,14.71,3.69,6160,On
-30.75,3.89,65.93,17974.14,748,4953,4.95,8.42,-39.88,20.33,-78,45.54,71,-11,7.29,0,0,0,0,0,0,5,2.5,14.71,3.69,6165,On
-30.56,3.88,65.92,17974.59,784,5198,5.2,49.63,-8.96,22.29,-10,55.13,51,-10.9,7.38,0,0,0,0,0,0,5,2.5,14.71,3.69,6171,On
-30.44,3.86,65.92,17975,754,4995,5,45.79,-21.02,18.6,-24,53.71,21,-10.79,8.37,0,0,0,0,0,0,5,2.5,14.71,3.69,6176,On
-30.44,3.85,65.91,17975.4,735,4870,4.87,16.83,4.35,20.12,14,26.6,8,-10.72,9.02,0,0,0,0,0,0,5,2.5,14.71,3.69,6182,On
-30.5,3.83,65.9,17975.83,745,4934,4.93,6.04,-25.1,17.81,-76,31.36,24,-10.63,9.33,0,0,0,0,0,0,5,2.5,14.71,3.69,6188,On
-30.37,3.81,65.9,17976.29,729,4832,4.83,10.04,-11.85,16.68,-49,22.79,33,-10.52,9.6,0,0,0,0,0,0,5,2.5,14.71,3.69,6193,On
-30.31,3.8,65.89,17976.74,718,4760,4.76,23.75,-6.64,16.68,-15,29.77,22,-10.44,10.3,0,0,0,0,0,0,5,2.5,14.71,3.69,6199,On
-30.37,3.78,65.89,17977.19,720,4773,4.77,29.5,-47.75,21.71,-58,60.18,13,-10.41,10.42,0,0,0,0,0,0,5,2.5,14.71,3.69,6204,On
-30.31,3.76,65.88,17977.6,718,4760,4.76,-2.35,-15.38,21.18,-98,26.28,36,-10.37,9.71,0,0,0,0,0,0,5,2.5,14.71,3.69,6210,On
-30.19,3.75,65.88,17978.03,734,4860,4.86,8.1,3.75,22.79,24,24.48,32,-10.17,9.56,0,0,0,0,0,0,5,2.5,14.71,3.69,6216,On
-30.06,3.73,65.87,17978.47,718,4754,4.75,9.08,-13.02,16.52,-55,22.91,22,-10.18,9.88,0,0,0,0,0,0,5,2.5,14.71,3.69,6221,On
-29.94,3.72,65.86,17978.89,685,4536,4.54,10.04,-36.92,18.68,-74,42.58,23,-10,9.7,0,0,0,0,0,0,5,2.5,14.71,3.69,6227,On
-29.87,3.7,65.86,17979.3,720,4772,4.77,14.27,-41.13,18.83,-70,47.43,20,-10.02,9.71,0,0,0,0,0,0,5,2.5,14.71,3.69,6232,On
-29.81,3.69,65.85,17979.7,773,5123,5.12,12.73,0.02,19.67,0,23.42,21,-9.94,9.56,0,0,0,0,0,0,5,2.5,14.71,3.69,6238,On
-29.75,3.67,65.85,17980.12,741,4908,4.91,46.06,-34.1,20.6,-36,60.9,15,-9.99,9.08,0,0,0,0,0,0,5,2.5,14.71,3.69,6244,On
-29.75,3.66,65.84,17980.53,740,4904,4.9,39.42,-23.96,16.6,-31,49.02,21,-9.94,8.86,0,0,0,0,0,0,5,2.5,14.71,3.69,6249,On
-29.69,3.64,65.84,17980.94,721,4779,4.78,3.35,-0.18,21.58,-3,21.84,27,-9.9,8.58,0,0,0,0,0,0,5,2.5,14.71,3.69,6255,On
-29.69,3.63,65.83,17981.31,717,4752,4.75,28.02,-10.43,16.12,-20,33.97,20,-9.85,8.7,0,0,0,0,0,0,5,2.5,14.71,3.69,6260,On
-29.62,3.61,65.83,17981.72,714,4730,4.73,39.18,-15.89,15.77,-22,45.13,19,-9.86,8.79,0,0,0,0,0,0,5,2.5,14.71,3.69,6266,On
-29.56,3.6,65.82,17982.13,708,4691,4.69,11.54,-37.68,18.64,-72,43.6,22,-9.75,8.45,0,0,0,0,0,0,5,2.5,14.71,3.69,6272,On
-29.5,3.58,65.82,17982.53,691,4576,4.58,23.52,-47.5,20.68,-63,56.9,21,-9.72,8.42,0,0,0,0,0,0,5,2.5,14.71,3.69,6277,On
-29.5,3.57,65.81,17982.92,690,4569,4.57,7.31,-4.35,19.81,-30,21.56,21,-9.68,8.5,0,0,0,0,0,0,5,2.5,14.71,3.69,6283,On
-29.31,3.55,65.81,17983.33,716,4741,4.74,38.35,-13.92,16.87,-19,44.15,21,-9.52,8.2,0,0,0,0,0,0,5,2.5,14.71,3.69,6288,On
-29.37,3.54,65.8,17983.71,728,4825,4.83,36.68,-28.68,15.58,-38,49.1,13,-9.44,8.52,0,0,0,0,0,0,5,2.5,14.71,3.69,6294,On
-29.19,3.52,65.8,17984.08,739,4896,4.9,26.85,-3.75,17.46,-7,32.25,32,-9.49,8.35,0,0,0,0,0,0,5,2.5,14.71,3.69,6300,On
-29.19,3.51,65.79,17984.5,726,4813,4.81,34.6,-36.08,16.96,-46,52.79,41,-9.45,8.11,0,0,0,0,0,0,5,2.5,14.71,3.69,6305,On
-29.06,3.49,65.79,17984.86,720,4772,4.77,24.12,-36.6,15.58,-56,46.52,27,-9.34,8.45,0,0,0,0,0,0,5,2.5,14.71,3.69,6311,On
-29,3.48,65.78,17985.23,700,4637,4.64,16.43,-46.08,20.68,-70,53.12,26,-9.25,9.26,0,0,0,0,0,0,5,2.5,14.71,3.69,6316,On
-29,3.46,65.78,17985.62,699,4633,4.63,28.75,-10.64,14.92,-20,34.09,21,-9.28,9.72,0,0,0,0,0,0,5,2.5,14.71,3.69,6322,On
-29.12,3.45,65.77,17986.01,710,4702,4.7,40.96,-1.48,20.02,-2,45.61,16,-9.16,9.67,0,0,0,0,0,0,5,2.5,14.71,3.69,6328,On
-29.12,3.44,65.77,17986.39,710,4702,4.7,33.64,-17.46,15.42,-27,40.92,15,-9.23,9.53,0,0,0,0,0,0,5,2.5,14.71,3.69,6333,On
-29.06,3.42,65.76,17986.8,677,4483,4.48,3.31,-0.43,21.85,-7,22.1,29,-9.09,8.83,0,0,0,0,0,0,5,2.5,14.71,3.69,6339,On
-29.06,3.41,65.76,17987.16,675,4470,4.47,16,-1.68,19.81,-6,25.52,15,-9.07,8.94,0,0,0,0,0,0,5,2.5,14.71,3.69,6344,On
-28.94,3.39,65.75,17987.54,714,4728,4.73,-11.38,-2.68,31,-166,33.13,18,-8.93,8.89,0,0,0,0,0,0,5,2.5,14.71,3.69,6350,On
-28.81,3.38,65.75,17987.89,699,4630,4.63,14.39,-31.83,15.77,-65,38.33,12,-8.79,8.65,0,0,0,0,0,0,5,2.5,14.71,3.69,6356,On
-28.94,3.37,65.74,17988.29,711,4711,4.71,38.97,-42.21,20.37,-47,60.96,15,-8.81,9.11,0,0,0,0,0,0,5,2.5,14.71,3.69,6361,On
-28.87,3.35,65.74,17988.66,700,4636,4.64,23.21,-10.35,14.83,-24,29.42,20,-8.81,8.8,0,0,0,0,0,0,5,2.5,14.71,3.69,6367,On
-28.94,3.34,65.73,17989.04,676,4481,4.48,8.89,-44.71,21.67,-78,50.47,33,-8.81,8.36,0,0,0,0,0,0,5,2.5,14.71,3.69,6372,On
-28.87,3.32,65.73,17989.38,676,4478,4.48,34.25,-21.75,15.5,-32,43.43,25,-8.86,8.9,0,0,0,0,0,0,5,2.5,14.71,3.69,6378,On
-28.87,3.31,65.72,17989.76,681,4515,4.52,9,-40.18,19.46,-77,45.54,27,-8.86,8.96,0,0,0,0,0,0,5,2.5,14.71,3.69,6384,On
-28.75,3.3,65.72,17990.1,705,4674,4.67,24.92,-12.38,15.18,-26,31.69,21,-8.76,9.07,0,0,0,0,0,0,5,2.5,14.71,3.69,6389,On
-28.69,3.28,65.71,17990.46,695,4605,4.61,47.42,-26.71,19.62,-29,57.85,16,-8.81,9.09,0,0,0,0,0,0,5,2.5,14.71,3.69,6395,On
-28.56,3.27,65.71,17990.82,728,4821,4.82,19.29,-39.92,17.97,-64,47.84,24,-8.79,8.62,0,0,0,0,0,0,5,2.5,14.71,3.69,6400,On
-28.5,3.26,65.7,17991.18,724,4794,4.79,36.54,-16.79,15.89,-24,43.24,24,-8.78,8.75,0,0,0,0,0,0,5,2.5,14.71,3.69,6406,On
-28.44,3.25,65.7,17991.47,710,4701,4.7,27.35,-9.1,15.06,-18,32.52,20,-8.73,9.71,0,0,0,0,0,0,5,2.5,14.71,3.69,6412,On
-28.37,3.23,65.69,17991.81,688,4561,4.56,32.77,-15.5,14.64,-25,39.09,21,-8.81,10.1,0,0,0,0,0,0,5,2.5,14.71,3.69,6417,On
-28.25,3.22,65.69,17992.16,675,4470,4.47,0.14,-14.08,20.21,-89,24.63,24,-8.78,9.59,0,0,0,0,0,0,5,2.5,14.71,3.69,6423,On
-28.12,3.21,65.69,17992.53,692,4589,4.59,7.67,-39.22,19.89,-78,44.64,24,-8.65,9.52,0,0,0,0,0,0,5,2.5,14.71,3.69,6428,On
-27.94,3.2,65.68,17992.83,696,4613,4.61,42.18,-21.31,16.87,-26,50.18,22,-8.48,10.1,0,0,0,0,0,0,5,2.5,14.71,3.69,6434,On
-27.87,3.18,65.68,17993.19,709,4699,4.7,17.71,-1.39,18.12,-4,25.38,24,-8.47,10.44,0,0,0,0,0,0,5,2.5,14.71,3.69,6440,On
-27.87,3.17,65.67,17993.52,709,4696,4.7,37.17,-40.14,19.31,-47,58.01,21,-8.47,10.29,2,0,0,0,0,0,5,2.5,14.71,3.69,6445,On
-27.87,3.16,65.67,17993.85,694,4596,4.6,-9.35,-26.06,26.52,-109,38.34,27,-8.48,10.03,6,0,0,0,0,0,5,2.5,14.71,3.69,6451,On
-27.69,3.15,65.66,17994.17,678,4495,4.5,34.27,-34.97,16.52,-45,51.67,16,-8.4,9.92,14,0,0,0,0,0,5,2.5,14.71,3.69,6456,On
-27.94,3.13,65.66,17994.49,676,4476,4.48,-4.02,-20.33,22.68,-101,30.73,19,-8.38,9.93,12,0,0,0,0,0,5,2.5,14.71,3.69,6462,On
