Temperature (*C), Pressure (hPa), Approx. Altitude (meters), Time(s), Motion,Corrected Time (s)
2.3,585.19,4401.2,2995,1,696
2.29,584.69,4408.07,2996,1,697
2.25,584.14,4414.58,2997,1,698
2.22,583.68,4420.01,2998,1,699
2.12,583.3,4425.46,2999,1,700
1.99,582.84,4431.5,3000,1,701
1.95,582.38,4437.56,3001,0,702
1.92,581.91,4443.88,3002,0,703
1.92,581.4,4450.44,3003,0,704
1.9,580.92,4456.64,3004,0,705
1.82,580.45,4463.39,3005,1,706
1.77,579.89,4470.35,3006,1,707
1.76,579.38,4476.81,3007,1,708
1.76,578.9,4483.23,3008,1,709
1.72,578.41,4489.34,3009,1,710
1.62,577.96,4495.47,3010,1,711
1.53,577.48,4503.28,3011,0,712
1.5,576.79,4510.42,3012,0,713
1.52,576.36,4515.93,3013,0,714
1.47,575.95,4521.36,3014,1,715
1.4,575.53,4527.24,3015,1,716
1.38,575.07,4533.16,3016,1,717
1.37,574.61,4539.34,3017,0,718
1.37,574.14,4545.64,3018,0,719
1.36,573.66,4552.22,3019,1,720
1.36,573.16,4558.88,3020,1,721
1.36,572.65,4565.27,3021,1,722
1.36,572.19,4571.31,3022,1,723
1.35,571.73,4577.38,3023,1,724
1.33,571.27,4583.57,3024,1,725
1.32,570.81,4589.51,3025,0,726
1.32,570.36,4595.48,3026,0,727
1.31,569.88,4602.35,3027,0,728
1.3,569.36,4608.94,3028,0,729
1.3,568.87,4615.6,3029,1,730
1.28,568.37,4621.59,3030,1,731
1.21,567.95,4627.02,3031,1,732
1.19,567.56,4632.44,3032,0,733
1.19,567.13,4638.07,3033,0,734
1.14,566.72,4643.94,3034,0,735
1.11,566.26,4650.38,3035,1,736
1.1,565.76,4657.34,3036,1,737
1.08,565.23,4664.31,3037,1,738
1.06,564.71,4670.67,3038,1,739
1,564.27,4676.57,3039,1,740
0.98,563.82,4682.61,3040,1,741
0.97,563.37,4688.59,3041,0,742
0.96,562.94,4694.79,3042,0,743
0.95,562.44,4704.71,3043,0,744
0.97,561.72,4710.34,3044,0,745
0.97,561.33,4715.91,3045,1,746
0.96,560.9,4721.83,3046,1,747
0.95,560.45,4727.24,3047,0,748
0.86,560.06,4732.52,3048,0,749
0.77,559.68,4738.49,3049,0,750
0.73,559.19,4745.11,3050,1,751
0.74,558.7,4751.71,3051,1,752
0.74,558.22,4758.05,3052,0,753
0.73,557.75,4764.11,3053,0,754
0.73,557.3,4770.49,3054,0,755
0.72,556.81,4777.17,3055,1,756
0.7,556.32,4783.8,3056,1,757
0.7,555.83,4790.53,3057,0,758
0.72,555.34,4796.93,3058,0,759
0.7,554.88,4803.95,3059,1,760
0.67,554.31,4811.54,3060,1,761
0.67,553.76,4819.08,3061,1,762
0.67,553.21,4826.28,3062,1,763
0.67,552.69,4832.8,3063,1,764
0.59,552.23,4839.27,3064,1,765
0.51,551.76,4845.54,3065,1,766
0.49,551.3,4851.84,3066,1,767
0.46,550.84,4857.86,3067,1,768
0.45,550.4,4863.49,3068,1,769
0.43,550.02,4869.05,3069,1,770
0.4,549.6,4874.7,3070,1,771
0.32,549.18,4880.75,3071,1,772
0.25,548.72,4887.56,3072,0,773
0.2,548.2,4894.62,3073,0,774
0.18,547.69,4901.29,3074,0,775
0.17,547.21,4907.85,3075,0,776
0.1,546.73,4914.94,3076,1,777
0.1,546.23,4921.15,3077,1,778
0.08,545.77,4927.62,3078,0,779
0.05,545.3,4934.5,3079,0,780
0.02,544.78,4941.74,3080,0,781
0.06,544.24,4948.44,3081,1,782
0.01,543.8,4954.29,3082,1,783
-0.14,543.38,4960.18,3083,1,784
-0.19,542.96,4966.67,3084,1,785
-0.2,542.45,4973.36,3085,1,786
-0.24,541.99,4979.93,3086,1,787
-0.26,541.51,4986.21,3087,1,788
-0.3,541.06,4992.55,3088,1,789
-0.3,540.6,4998.76,3089,0,790
-0.31,540.14,5005.42,3090,0,791
-0.33,539.66,5012.21,3091,0,792
-0.35,539.15,5018.94,3092,0,793
-0.37,538.7,5025.22,3093,1,794
-0.39,538.25,5031.57,3094,1,795
-0.43,537.79,5038.12,3095,1,796
-0.46,537.3,5045.08,3096,1,797
-0.5,536.79,5051.52,3097,1,798
-0.6,536.36,5057.68,3098,0,799
-0.71,535.91,5066.32,3099,0,800
-0.71,534.94,5075.29,3100,0,801
-0.73,534.77,5078.55,3101,1,802
-0.76,534.5,5083.15,3102,1,803
-0.78,534.12,5088.62,3103,1,804
-0.82,533.72,5094.43,3104,1,805
-0.86,533.29,5100.85,3105,1,806
-0.91,532.82,5107.44,3106,0,807
-0.93,532.34,5115.64,3107,0,808
-0.94,531.69,5122.29,3108,0,809
-0.94,531.34,5127.52,3109,0,810
-0.95,530.95,5133.36,3110,0,811
-0.98,530.51,5139.63,3111,0,812
-0.99,530.07,5145.8,3112,0,813
-1.01,529.63,5151.69,3113,1,814
-1.13,529.23,5157.65,3114,1,815
-1.17,528.78,5164.81,3115,0,816
-1.16,528.22,5171.87,3116,0,817
-1.17,527.78,5177.77,3117,0,818
-1.25,527.38,5183.2,3118,0,819
-1.38,526.99,5188.65,3119,0,820
-1.44,526.61,5193.9,3120,0,821
-1.55,526.26,5199.03,3121,1,822
-1.71,525.88,5204.57,3122,1,823
-1.79,525.47,5210.48,3123,0,824
-1.83,525.05,5216.87,3124,0,825
-1.85,524.59,5222.88,3125,0,826
-1.94,524.19,5228.95,3126,0,827
-2.04,523.74,5235.48,3127,1,828
-2.07,523.27,5242.65,3128,1,829
-2.08,522.75,5249.64,3129,1,830
-2.09,522.28,5256.65,3130,1,831
-2.18,521.76,5263.89,3131,1,832
-2.2,521.27,5270.35,3132,1,833
-2.3,520.84,5276.52,3133,1,834
-2.37,520.4,5282.82,3134,1,835
-2.4,519.96,5289.45,3135,1,836
-2.42,519.48,5296.23,3136,1,837
-2.49,519.01,5302.87,3137,0,838
-2.52,518.55,5309.28,3138,0,839
-2.57,518.11,5315.66,3139,1,840
-2.69,517.66,5321.92,3140,1,841
-2.75,517.24,5327.98,3141,1,842
-2.78,516.82,5333.91,3142,1,843
-2.8,516.4,5339.99,3143,1,844
-2.84,515.97,5346.51,3144,1,845
-2.87,515.5,5353.36,3145,1,846
-2.89,515.03,5360.11,3146,1,847
-2.92,514.57,5366.37,3147,1,848
-2.94,514.14,5372.57,3148,0,849
-2.95,513.71,5379.16,3149,0,850
-2.96,513.25,5385.93,3150,1,851
-2.95,512.77,5392.92,3151,1,852
-2.95,512.28,5399.54,3152,1,853
-3.08,511.85,5406.33,3153,1,854
-3.23,511.35,5413.43,3154,1,855
-3.26,510.85,5420.1,3155,1,856
-3.33,510.43,5426.74,3156,1,857
-3.46,509.95,5433.62,3157,1,858
-3.48,509.47,5440.57,3158,1,859
-3.49,509,5447.91,3159,1,860
-3.51,508.48,5455.24,3160,1,861
-3.46,507.99,5462.02,3161,1,862
-3.45,507.54,5468.36,3162,1,863
-3.6,507.1,5474.81,3163,1,864
-3.64,506.66,5481.25,3164,1,865
-3.65,506.22,5487.75,3165,1,866
-3.66,505.78,5494.46,3166,1,867
-3.67,505.3,5500.53,3167,1,868
-3.68,504.93,5505.75,3168,1,869
-3.74,504.59,5511.11,3169,0,870
-3.76,504.2,5517.2,3170,0,871
-3.77,503.77,5523.72,3171,0,872
-3.78,503.31,5530.31,3172,1,873
-3.79,502.87,5536.76,3173,1,874
-3.81,502.43,5543.33,3174,0,875
-3.83,501.97,5549.66,3175,0,876
-3.99,501.56,5556.13,3176,1,877
-4.05,501.11,5562.82,3177,1,878
-4.08,500.65,5569.15,3178,1,879
-4.09,500.24,5575.56,3179,1,880
-4.1,499.79,5582.28,3180,1,881
-4.13,499.33,5589.02,3181,1,882
-4.17,498.88,5595.54,3182,1,883
-4.26,498.45,5602.76,3183,1,884
-4.33,497.88,5609.56,3184,1,885
-4.35,497.55,5614.86,3185,1,886
-4.37,497.16,5620.59,3186,1,887
-4.39,496.77,5626.91,3187,1,888
-4.41,496.33,5633.27,3188,1,889
-4.45,495.9,5639.43,3189,1,890
-4.48,495.49,5645.92,3190,1,891
-4.5,495.04,5652.74,3191,1,892
-4.52,494.58,5659.4,3192,1,893
-4.55,494.13,5666,3193,0,894
-4.57,493.7,5672.64,3194,0,895
-4.57,493.24,5679.59,3195,1,896
-4.65,492.77,5686.64,3196,1,897
-4.67,492.29,5694.2,3197,1,898
-4.7,491.74,5701.29,3198,0,899
-4.72,491.34,5707.26,3199,0,900
-4.73,490.96,5712.98,3200,1,901
-4.86,490.57,5718.69,3201,1,902
-4.92,490.18,5725.01,3202,1,903
-4.94,489.75,5731.72,3203,1,904
-4.97,489.3,5738.09,3204,0,905
-5.01,488.89,5744.22,3205,0,906
-5.12,488.48,5750.46,3206,1,907
-5.23,488.06,5756.93,3207,1,908
-5.26,487.62,5763.72,3208,1,909
-5.28,487.16,5770.44,3209,1,910
-5.31,486.73,5777.08,3210,0,911
-5.4,486.28,5783.82,3211,0,912
-5.51,485.85,5790.01,3212,0,913
-5.56,485.44,5796.51,3213,0,914
-5.6,484.98,5803.34,3214,1,915
-5.64,484.54,5809.67,3215,1,916
-5.71,484.13,5821.07,3216,1,917
-5.77,483.36,5826.34,3217,0,918
-5.8,483.11,5830.85,3218,0,919
-5.84,482.77,5836.42,3219,1,920
-5.89,482.38,5842.63,3220,1,921
-5.93,481.96,5848.78,3221,1,922
-5.98,481.56,5854.8,3222,0,923
-6.07,481.18,5860.81,3223,0,924
-6.09,480.77,5867.19,3224,0,925
-6.1,480.35,5873.92,3225,1,926
-6.09,479.89,5880.76,3226,1,927
-6.19,479.43,5888.16,3227,1,928
-6.21,478.94,5895.45,3228,1,929
-6.22,478.48,5902.11,3229,1,930
-6.35,478.06,5908.67,3230,1,931
-6.51,477.62,5915.84,3231,1,932
-6.55,477.13,5923.32,3232,1,933
-6.56,476.65,5930.69,3233,1,934
-6.56,476.16,5937.45,3234,1,935
-6.55,475.75,5943.47,3235,1,936
-6.55,475.38,5949.31,3236,1,937
-6.58,474.99,5955.34,3237,1,938
-6.6,474.6,5961.4,3238,1,939
-6.61,474.2,5967.73,3239,0,940
-6.63,473.79,5974,3240,0,941
-6.64,473.37,5980.68,3241,1,942
-6.67,472.93,5987.68,3242,1,943
-6.66,472.48,5994.74,3243,1,944
-6.65,472.01,6001.76,3244,1,945
-6.79,471.56,6008.86,3245,1,946
-6.86,471.09,6016.14,3246,1,947
-6.96,470.62,6023.25,3247,0,948
-7.15,470.18,6030.27,3248,0,949
-7.21,469.7,6037.51,3249,1,950
-7.25,469.26,6044.66,3250,1,951
-7.33,468.79,6051.57,3251,1,952
-7.34,468.36,6058.15,3252,1,953
-7.38,467.94,6064.43,3253,1,954
-7.45,467.55,6070.59,3254,1,955
-7.47,467.15,6077.1,3255,1,956
-7.51,466.72,6084.04,3256,1,957
-7.53,466.27,6090.9,3257,1,958
-7.54,465.83,6097.37,3258,1,959
-7.61,465.44,6103.52,3259,1,960
-7.7,465.03,6109.9,3260,0,961
-7.8,464.62,6116.74,3261,0,962
-7.87,464.17,6123.62,3262,1,963
-7.88,463.75,6130.04,3263,1,964
-7.9,463.34,6136.93,3264,1,965
-7.92,462.89,6143.87,3265,1,966
-7.95,462.45,6150.57,3266,0,967
-8.08,462.03,6157.61,3267,0,968
-8.28,461.57,6165.21,3268,0,969
-8.34,461.07,6172.17,3269,0,970
-8.43,460.66,6178.87,3270,0,971
-8.5,460.24,6185.54,3271,1,972
-8.54,459.8,6192.3,3272,1,973
-8.57,459.38,6198.59,3273,0,974
-8.71,459,6205.29,3274,0,975
-8.8,458.55,6212.04,3275,0,976
-8.81,458.13,6218.7,3276,0,977
-8.83,457.71,6225.49,3277,1,978
-8.87,457.28,6232.49,3278,1,979
-8.91,456.83,6239.23,3279,0,980
-9.03,456.42,6245.81,3280,0,981
-9.16,456,6252.66,3281,0,982
-9.21,455.57,6259.79,3282,1,983
-9.23,455.11,6270.26,3283,1,984
-9.22,454.32,6278.6,3284,1,985
-9.2,453.97,6284.32,3285,0,986
-9.25,453.62,6290.47,3286,0,987
-9.3,453.21,6297.1,3287,0,988
-9.32,452.79,6303.45,3288,1,989
-9.44,452.4,6309.99,3289,1,990
-9.5,451.98,6316.57,3290,0,991
-9.53,451.58,6323.37,3291,0,992
-9.54,451.13,6330.54,3292,0,993
-9.59,450.68,6337.37,3293,0,994
-9.71,450.27,6344.33,3294,1,995
-9.85,449.83,6350.96,3295,1,996
-9.92,449.43,6357.23,3296,1,997
-9.95,449.06,6362.74,3297,1,998
-9.99,448.73,6368.15,3298,1,999
-10.04,448.4,6373.81,3299,1,1000
-10.07,448.03,6379.24,3300,1,1001
-10.15,447.71,6384.64,3301,1,1002
-10.23,447.36,6390.25,3302,1,1003
-10.25,447.02,6395.96,3303,1,1004
-10.28,446.64,6402.66,3304,0,1005
-10.33,446.22,6409.56,3305,0,1006
-10.37,445.78,6416.77,3306,1,1007
-10.39,445.34,6423.84,3307,1,1008
-10.41,444.9,6430.66,3308,0,1009
-10.43,444.49,6437.49,3309,0,1010
-10.46,444.08,6443.54,3310,0,1011
-10.6,443.72,6449.53,3311,0,1012
-10.77,443.34,6456.27,3312,1,1013
-10.88,442.9,6463.43,3313,1,1014
-10.91,442.46,6470.48,3314,1,1015
-10.93,442.04,6477.16,3315,1,1016
-10.96,441.63,6483.95,3316,1,1017
-10.99,441.22,6491.08,3317,1,1018
-11.01,440.76,6499.13,3318,1,1019
-11.05,440.25,6506.25,3319,1,1020
-11.13,439.86,6512.59,3320,1,1021
-11.21,439.47,6518.62,3321,1,1022
-11.23,439.12,6524.33,3322,1,1023
-11.37,438.78,6530.48,3323,1,1024
-11.52,438.37,6537.73,3324,1,1025
-11.55,437.91,6545.2,3325,1,1026
-11.58,437.46,6552.84,3326,0,1027
-11.6,436.98,6560.9,3327,0,1028
-11.61,436.49,6568.4,3328,0,1029
-11.68,436.05,6575.67,3329,0,1030
-11.72,435.61,6582.29,3330,1,1031
-11.75,435.24,6588.31,3331,1,1032
-11.82,434.88,6594.7,3332,1,1033
-11.86,434.48,6601.69,3333,1,1034
-11.88,434.03,6608.86,3334,1,1035
-11.9,433.61,6615.85,3335,1,1036
-12.03,433.18,6623.04,3336,1,1037
-12.12,432.75,6630.12,3337,1,1038
-12.15,432.32,6637.03,3338,1,1039
-12.16,431.92,6643.42,3339,1,1040
-12.24,431.54,6650.18,3340,1,1041
-12.33,431.11,6657.66,3341,1,1042
-12.36,430.66,6665.03,3342,1,1043
-12.37,430.22,6672.06,3343,1,1044
-12.38,429.81,6678.78,3344,1,1045
-12.41,429.41,6685.44,3345,1,1046
-12.45,429.01,6692.07,3346,1,1047
-12.46,428.61,6698.45,3347,0,1048
-12.58,428.25,6704.61,3348,0,1049
-12.75,427.88,6711.32,3349,1,1050
-12.83,427.45,6718.72,3350,1,1051
-12.86,427,6726.71,3351,1,1052
-12.82,426.51,6734.47,3352,1,1053
-12.78,426.07,6741.51,3353,1,1054
-12.83,425.66,6749.09,3354,1,1055
-12.98,425.18,6756.65,3355,1,1056
-13.02,424.76,6763.53,3356,1,1057
-13.1,424.35,6770.71,3357,1,1058
-13.21,423.92,6777.79,3358,0,1059
-13.23,423.51,6784.68,3359,0,1060
-13.26,423.09,6792.1,3360,1,1061
-13.28,422.64,6799.23,3361,1,1062
-13.3,422.24,6806.07,3362,1,1063
-13.31,421.83,6812.99,3363,1,1064
-13.33,421.42,6820.17,3364,0,1065
-13.34,420.98,6827.62,3365,0,1066
-13.37,420.54,6834.96,3366,1,1067
-13.47,420.11,6842.65,3367,1,1068
-13.52,419.67,6849.79,3368,0,1069
-13.54,419.25,6856.94,3369,0,1070
-13.56,418.82,6864.35,3370,1,1071
-13.71,418.38,6871.49,3371,1,1072
-13.73,417.98,6878.64,3372,1,1073
-13.73,417.55,6885.88,3373,1,1074
-13.74,417.12,6892.92,3374,1,1075
-13.77,416.73,6898.96,3375,1,1076
-13.8,416.4,6904.94,3376,1,1077
-13.84,416.05,6912.1,3377,1,1078
-13.84,415.57,6918.78,3378,1,1079
-13.83,415.25,6924.5,3379,0,1080
-13.83,414.9,6930.72,3380,0,1081
-13.82,414.53,6937.59,3381,0,1082
-13.84,414.12,6944.74,3382,0,1083
-13.85,413.7,6951.85,3383,1,1084
-13.87,413.29,6959.05,3384,1,1085
-13.89,412.85,6966.64,3385,0,1086
-13.91,412.42,6973.82,3386,0,1087
-13.92,412.01,6980.64,3387,1,1088
-14.02,411.63,6987.36,3388,1,1089
-14.09,411.23,6994.36,3389,1,1090
-14.11,410.82,7001.89,3390,1,1091
-14.12,410.38,7009.49,3391,0,1092
-14.14,409.93,7016.9,3392,0,1093
-14.16,409.52,7023.68,3393,1,1094
-14.29,409.14,7030.41,3394,1,1095
-14.34,408.75,7036.77,3395,1,1096
-14.36,408.38,7043.95,3396,1,1097
-14.4,407.95,7051.42,3397,1,1098
-14.47,407.52,7058.91,3398,1,1099
-14.5,407.09,7066.79,3399,1,1100
-14.58,406.63,7074.12,3400,1,1101
-14.61,406.23,7080.74,3401,1,1102
-14.71,405.87,7087.15,3402,1,1103
-14.86,405.49,7093.85,3403,1,1104
-14.96,405.11,7100.97,3404,0,1105
-14.99,404.68,7109.02,3405,0,1106
-15.01,404.21,7116.9,3406,0,1107
-15.05,403.76,7124.14,3407,0,1108
-15.18,403.38,7131.15,3408,0,1109
-15.42,402.96,7138.12,3409,1,1110
-15.49,402.58,7144.88,3410,1,1111
-15.52,402.19,7154.92,3411,1,1112
-15.57,401.41,7164.34,3412,1,1113
-15.61,401.15,7169.34,3413,1,1114
-15.65,400.84,7175.18,3414,1,1115
-15.69,400.49,7181.33,3415,1,1116
-15.74,400.14,7188.02,3416,1,1117
-15.78,399.75,7195.06,3417,0,1118
-15.82,399.34,7202.32,3418,0,1119
-15.85,398.93,7209.37,3419,0,1120
-15.91,398.55,7218.52,3420,1,1121
-15.96,397.94,7226.25,3421,1,1122
-15.98,397.63,7232.12,3422,1,1123
-16.01,397.28,7238.43,3423,1,1124
-16.04,396.92,7244.65,3424,1,1125
-16.07,396.56,7251.51,3425,1,1126
-16.11,396.17,7258.56,3426,0,1127
-16.15,395.76,7265.8,3427,0,1128
-16.21,395.37,7272.96,3428,0,1129
-16.37,394.95,7280.6,3429,0,1130
-16.48,394.53,7288.29,3430,0,1131
-16.51,394.09,7295.55,3431,0,1132
-16.51,393.71,7302.39,3432,1,1133
-16.53,393.32,7309.77,3433,1,1134
-16.56,392.9,7317.53,3434,0,1135
-16.58,392.46,7325.18,3435,0,1136
-16.6,392.03,7331.93,3436,1,1137
-16.81,391.69,7338.57,3437,1,1138
-16.92,391.31,7345.63,3438,1,1139
-16.95,390.9,7352.67,3439,1,1140
-16.98,390.53,7359.42,3440,0,1141
-17.01,390.15,7366.52,3441,0,1142
-17,389.75,7379.17,3442,0,1143
-16.93,389.03,7385.41,3443,0,1144
-16.93,388.76,7390.85,3444,1,1145
-16.95,388.43,7397.24,3445,1,1146
-16.97,388.06,7403.68,3446,0,1147
-17.02,387.71,7410.56,3447,0,1148
-17.13,387.31,7418.17,3448,0,1149
-17.16,386.88,7426.08,3449,0,1150
-17.18,386.44,7433.88,3450,1,1151
-17.19,386.02,7441.1,3451,1,1152
-17.21,385.63,7448.15,3452,0,1153
-17.22,385.26,7455.19,3453,0,1154
-17.26,384.85,7463.05,3454,0,1155
-17.28,384.42,7471.22,3455,0,1156
-17.29,383.95,7479.21,3456,0,1157
-17.29,383.53,7486.37,3457,1,1158
-17.42,383.17,7492.65,3458,1,1159
-17.52,382.84,7498.54,3459,1,1160
-17.56,382.53,7504.03,3460,1,1161
-17.64,382.23,7509.62,3461,1,1162
-17.73,381.91,7515.45,3462,1,1163
-17.77,381.6,7521.4,3463,0,1164
-17.83,381.27,7527.84,3464,0,1165
-17.87,380.9,7535,3465,0,1166
-17.9,380.5,7542.3,3466,1,1167
-17.91,380.11,7549.33,3467,1,1168
-17.91,379.74,7555.99,3468,0,1169
-17.91,379.38,7563,3469,0,1170
-17.93,378.97,7570.3,3470,1,1171
-18,378.61,7576.79,3471,1,1172
-18.02,378.25,7583.01,3472,0,1173
-18.03,377.92,7589.55,3473,0,1174
-18.05,377.56,7596.19,3474,1,1175
-18.17,377.21,7604.12,3475,1,1176
-18.19,376.71,7611.73,3476,1,1177
-18.21,376.37,7618.37,3477,1,1178
-18.23,376,7625.4,3478,0,1179
-18.23,375.62,7631.9,3479,0,1180
-18.23,375.28,7638.11,3480,0,1181
-18.23,374.97,7643.82,3481,0,1182
-18.25,374.66,7649.48,3482,1,1183
-18.35,374.35,7655.85,3483,1,1184
-18.47,373.99,7662.52,3484,0,1185
-18.5,373.64,7669.22,3485,0,1186
-18.57,373.27,7675.81,3486,0,1187
-18.76,372.93,7682.5,3487,1,1188
-18.88,372.56,7689.08,3488,1,1189
-19.04,372.22,7695.86,3489,0,1190
-19.13,371.86,7702.76,3490,0,1191
-19.17,371.48,7710.01,3491,0,1192
-19.2,371.09,7717.06,3492,0,1193
-19.23,370.72,7724.38,3493,0,1194
-19.3,370.31,7732.06,3494,0,1195
-19.33,369.91,7739.3,3495,1,1196
-19.35,369.53,7746.53,3496,1,1197
-19.38,369.14,7753.89,3497,0,1198
-19.41,368.75,7761.26,3498,0,1199
-19.44,368.37,7768.9,3499,0,1200
-19.47,367.94,7776.43,3500,1,1201
-19.47,367.56,7784.03,3501,1,1202
-19.48,367.14,7791.46,3502,1,1203
-19.49,366.78,7798.43,3503,1,1204
-19.52,366.4,7805.71,3504,1,1205
-19.56,366.02,7813.09,3505,1,1206
-19.6,365.63,7820.54,3506,1,1207
-19.62,365.24,7827.61,3507,0,1208
-19.65,364.87,7834.58,3508,0,1209
-19.69,364.5,7841.91,3509,0,1210
-19.71,364.11,7849.51,3510,1,1211
-19.72,363.7,7857.41,3511,1,1212
-19.75,363.29,7865.45,3512,1,1213
-19.77,362.86,7872.8,3513,1,1214
-19.79,362.51,7879.92,3514,1,1215
-19.8,362.13,7886.99,3515,1,1216
-19.85,361.76,7894.09,3516,1,1217
-19.88,361.39,7901.45,3517,1,1218
-19.88,361,7908.44,3518,1,1219
-19.99,360.65,7915.47,3519,0,1220
-20.1,360.27,7922.86,3520,0,1221
-20.15,359.89,7930.21,3521,1,1222
-20.23,359.51,7937.54,3522,1,1223
-20.3,359.13,7944.58,3523,1,1224
-20.34,358.77,7951.63,3524,1,1225
-20.36,358.39,7959.26,3525,1,1226
-20.39,357.99,7967.01,3526,1,1227
-20.41,357.59,7974.46,3527,1,1228
-20.51,357.22,7982.44,3528,0,1229
-20.58,356.78,7990.76,3529,0,1230
-20.59,356.36,7998.25,3530,1,1231
-20.6,355.99,8005.76,3531,1,1232
-20.63,355.59,8013.55,3532,1,1233
-20.65,355.18,8021.5,3533,0,1234
-20.66,354.78,8029.34,3534,0,1235
-20.69,354.39,8036.52,3535,1,1236
-20.77,354.03,8044.07,3536,1,1237
-20.81,353.63,8051.54,3537,1,1238
-20.83,353.25,8059.14,3538,1,1239
-20.87,352.86,8066.87,3539,1,1240
-21.04,352.46,8074.43,3540,1,1241
-21.09,352.07,8082.2,3541,1,1242
-21.12,351.68,8089.96,3542,1,1243
-21.15,351.29,8097.79,3543,0,1244
-21.16,350.88,8105.44,3544,0,1245
-21.21,350.49,8113.67,3545,0,1246
-21.34,350.06,8121.97,3546,1,1247
-21.39,349.64,8129.63,3547,1,1248
-21.47,349.28,8136.66,3548,0,1249
-21.63,348.93,8143.98,3549,0,1250
-21.71,348.54,8151.99,3550,0,1251
-21.73,348.13,8159.42,3551,0,1252
-21.8,347.77,8166.79,3552,1,1253
-21.96,347.38,8174.57,3553,1,1254
-22.01,346.99,8182.18,3554,1,1255
-22.04,346.62,8189.25,3555,1,1256
-22.07,346.27,8196.04,3556,1,1257
-22.1,345.93,8203.17,3557,0,1258
-22.22,345.57,8210.08,3558,0,1259
-22.27,345.22,8217.18,3559,0,1260
-22.3,344.86,8224.69,3560,0,1261
-22.33,344.48,8232.15,3561,0,1262
-22.35,344.11,8239.84,3562,1,1263
-22.38,343.72,8246.94,3563,1,1264
-22.54,343.39,8253.72,3564,1,1265
-22.7,343.04,8260.89,3565,1,1266
-22.75,342.66,8268.78,3566,1,1267
-22.77,342.25,8276.89,3567,1,1268
-22.76,341.86,8284.29,3568,1,1269
-22.76,341.51,8291.38,3569,1,1270
-22.78,341.15,8298.33,3570,0,1271
-22.8,340.82,8305.26,3571,0,1272
-22.84,340.47,8312.51,3572,0,1273
-22.86,340.1,8320.09,3573,0,1274
-22.87,339.72,8327.62,3574,0,1275
-22.9,339.35,8334.75,3575,1,1276
-22.92,339,8342.2,3576,1,1277
-23.04,338.63,8349.35,3577,0,1278
-23.06,338.28,8356.32,3578,0,1279
-23.05,337.94,8363.67,3579,0,1280
-23.07,337.55,8371.29,3580,1,1281
-23.16,337.19,8378.89,3581,1,1282
-23.18,336.82,8386.32,3582,1,1283
-23.22,336.45,8393.78,3583,1,1284
-23.35,336.09,8400.65,3584,0,1285
-23.39,335.75,8407.56,3585,0,1286
-23.41,335.42,8414.46,3586,0,1287
-23.44,335.08,8421.9,3587,1,1288
-23.46,334.69,8430.07,3588,1,1289
-23.49,334.28,8437.86,3589,1,1290
-23.53,333.92,8444.97,3590,1,1291
-23.55,333.59,8451.28,3591,0,1292
-23.55,333.29,8457.03,3592,0,1293
-23.57,333.02,8462.32,3593,0,1294
-23.57,332.78,8467.35,3594,0,1295
-23.57,332.53,8472.48,3595,1,1296
-23.58,332.29,8477.42,3596,1,1297
-23.6,332.06,8482.8,3597,1,1298
-23.62,331.76,8489.44,3598,1,1299
-23.63,331.42,8496.55,3599,0,1300
-23.65,331.07,8503.51,3600,0,1301
-23.65,330.74,8510.67,3601,0,1302
-23.66,330.37,8518.03,3602,0,1303
-23.67,330.04,8524.15,3603,1,1304
-23.77,329.76,8529.95,3604,1,1305
-23.89,329.48,8535.77,3605,1,1306
-23.91,329.2,8541.67,3606,1,1307
-23.9,328.91,8547.5,3607,1,1308
-23.98,328.64,8553.02,3608,1,1309
-24.15,328.38,8558.99,3609,1,1310
-24.28,328.07,8564.58,3610,1,1311
-24.39,327.81,8569.49,3611,0,1312
-24.53,327.6,8574.22,3612,0,1313
-24.72,327.37,8579.09,3613,0,1314
-24.79,327.12,8584.31,3614,0,1315
-24.84,326.87,8590.01,3615,1,1316
-24.88,326.59,8595.64,3616,1,1317
-24.97,326.31,8601.56,3617,0,1318
-25.1,326.03,8607.66,3618,0,1319
-25.23,325.73,8613.87,3619,1,1320
-25.29,325.43,8620.48,3620,1,1321
-25.32,325.11,8626.96,3621,1,1322
-25.35,324.79,8633.8,3622,1,1323
-25.37,324.48,8640.11,3623,1,1324
-25.42,324.18,8646.91,3624,1,1325
-25.49,323.83,8654.42,3625,1,1326
-25.54,323.48,8661.45,3626,0,1327
-25.56,323.14,8668.37,3627,0,1328
-25.59,322.82,8675.07,3628,0,1329
-25.61,322.5,8681.8,3629,1,1330
-25.63,322.19,8688.31,3630,1,1331
-25.66,321.88,8694.63,3631,0,1332
-25.72,321.58,8701.6,3632,0,1333
-25.79,321.24,8711.51,3633,1,1334
-25.78,320.66,8719.86,3634,1,1335
-25.76,320.41,8725.28,3635,1,1336
-25.85,320.15,8731.26,3636,0,1337
-25.98,319.84,8738.46,3637,0,1338
-26.11,319.49,8746.02,3638,1,1339
-26.16,319.12,8754.32,3639,1,1340
-26.2,318.72,8762.54,3640,1,1341
-26.12,318.33,8770.04,3641,1,1342
-26.2,318.01,8777.29,3642,1,1343
-26.33,317.66,8783.99,3643,1,1344
-26.37,317.37,8790.23,3644,0,1345
-26.38,317.07,8796.88,3645,0,1346
-26.4,316.74,8804.61,3646,0,1347
-26.44,316.36,8812.86,3647,1,1348
